Distance (µm),Na Ox%,Mg Ox%,Al Ox%,Si Ox%,P Ox%,S Ox%,Cl Ox%,K Ox%,Ca Ox%,Ti Ox%,Mn Ox%,Fe Ox%,
0,-0.019041,46.10265,0.384294,39.791,0.021372,0.026924,0,-0.053942,0.383467,-0.002511,0.123248,11.72721,
0.499999999999998,-0.08776,45.62955,0.446741,39.61765,-0.027057,0.055692,0,0.010361,0.372557,-0.010016,0.136736,11.45648,
1,-0.055611,45.9098,0.466393,39.73716,-0.057842,-0.040032,0,0.008088,0.489181,0.04647,0.215863,11.59739,
1.5,-0.03497,45.85227,0.561606,40.06075,0.051915,0.091192,0,0.048411,0.635493,0.067853,0.199185,11.67155,
2,0.026508,45.3685,0.920903,40.34384,0.003591,0.008858,0,0.054313,0.945239,0.172838,0.111127,11.3263,
2.5,0.107516,43.69034,1.831909,41.69191,0.035161,0.008576,0,0.063239,1.706616,0.32566,0.264996,10.85804,
3,0.300412,41.11303,3.317224,42.91516,0.106617,-0.006336,0,0.143157,3.109594,0.644232,0.188404,10.12634,
3.5,0.669762,35.63007,5.812013,45.03126,0.237915,-0.015564,0,0.186587,5.154662,1.207351,0.181436,9.463625,
4,1.383695,25.80091,9.419667,46.87841,0.325389,0.064725,0,0.350839,8.026464,1.973888,0.131222,8.961276,
4.5,1.879783,12.50701,12.05913,48.38248,0.294744,0.080371,0,0.393431,10.703,2.515934,0.145794,9.11028,
5,1.839619,10.81205,12.25842,47.84304,0.350673,-0.024007,0,0.42386,11.16018,2.514905,0.132067,9.122039,
5.5,1.947507,9.965799,12.23425,48.05585,0.37541,0.068786,0,0.36732,11.34831,2.587382,0.160139,9.30586,
6,1.945745,9.589979,12.2499,48.08495,0.348142,0.081163,0,0.376315,11.36178,2.723814,0.176366,9.341256,
6.5,1.861226,9.424154,12.26597,48.01177,0.350326,0.038575,0,0.408136,11.38331,2.599325,0.161075,9.127601,
7,1.87966,9.640991,12.34635,48.1015,0.492356,0.007851,0,0.367045,11.24524,2.585393,0.116502,9.482103,
7.5,1.925899,9.71683,12.39253,47.87868,0.386342,0.058173,0,0.387902,11.25124,2.478168,0.122559,9.159039,
8,1.849169,9.890292,12.14726,48.10949,0.42084,0.066526,0,0.410405,11.27014,2.466192,0.197631,9.150009,
8.5,1.880422,9.932699,12.14857,48.1358,0.398917,0.076699,0,0.367359,11.23193,2.562206,0.180221,9.133007,
9,1.921429,10.08367,12.13776,48.10445,0.316356,0.020553,0,0.371842,11.07088,2.521597,0.185377,9.387604,
9.5,1.957805,10.19206,12.22916,48.08703,0.264308,0.151139,0,0.375176,11.21094,2.647374,0.137026,9.300659,
10,1.864188,10.13722,12.23224,48.02754,0.421351,0.041598,0,0.345514,11.20496,2.483905,0.119725,9.166491,
10.5,1.848684,10.23753,12.33457,48.32461,0.366086,0.011523,0,0.351286,11.04303,2.499453,0.192445,9.288568,
11,1.893417,10.12162,12.23959,48.26532,0.254287,-0.049691,0,0.401086,11.12807,2.376444,0.195838,9.145093,
11.5,1.929396,10.2479,12.1927,48.01579,0.38561,0.078722,0,0.313473,11.12829,2.540332,0.137936,9.087994,
12,1.923148,10.20061,12.16482,48.01717,0.38873,-0.018134,0,0.351066,11.13026,2.514923,0.158125,9.177967,
12.5,1.84677,10.29862,12.26704,48.09551,0.424991,0.054305,0,0.422933,11.02357,2.5432,0.150493,9.058411,
13,1.903429,10.38983,12.30737,48.23578,0.375371,0.044499,0,0.393886,11.14958,2.453095,0.150678,8.789863,
13.5,1.877304,10.35628,12.16109,48.21083,0.416836,-0.016309,0,0.394666,11.17064,2.536385,0.117229,9.096619,
14,1.925341,10.20665,12.46041,48.1504,0.475326,-0.018552,0,0.404426,11.15231,2.475319,0.091943,9.069171,
14.5,1.932088,10.27156,12.30418,48.37157,0.435631,-0.030712,0,0.401148,11.06568,2.392124,0.132394,9.181255,
15,1.89799,10.24582,12.24329,48.29867,0.392902,-0.033165,0,0.398056,11.17599,2.476388,0.164872,8.903132,
15.5,1.90785,10.3543,12.32677,48.19607,0.34786,-0.019009,0,0.381438,11.0003,2.532531,0.150822,9.258696,
16,1.898089,10.35351,12.27975,48.02052,0.399425,-0.004086,0,0.346542,11.10754,2.494588,0.100034,9.08392,
16.5,1.896371,10.26597,12.16434,47.83046,0.437405,0.0194,0,0.388994,11.17733,2.427958,0.20717,8.940239,
17,1.918659,10.30718,12.33873,48.36914,0.393709,0.135635,0,0.407787,10.97622,2.401321,0.116893,9.003855,
17.5,1.914916,10.27415,12.18838,48.17027,0.401126,0.040796,0,0.355641,11.07085,2.578402,0.107219,8.826226,
18,1.964335,10.30261,12.39304,48.27661,0.327536,0.014906,0,0.398873,10.91627,2.555255,0.149532,9.053401,
18.5,2.001907,10.24001,12.55256,48.31181,0.399682,-0.026424,0,0.396168,10.9882,2.512182,0.1328,9.050955,
19,2.061136,10.36653,12.54107,48.54998,0.402261,0.049203,0,0.350501,11.0544,2.427809,0.132459,8.832138,
19.5,1.941263,10.2956,12.41129,48.39702,0.424958,0.009951,0,0.378416,11.09779,2.478992,0.189071,8.670201,
20,1.950393,10.20564,12.45041,48.12479,0.41208,-0.001818,0,0.413358,11.10667,2.601773,0.076642,8.902314,
20.5,1.976155,10.27329,12.28029,48.06868,0.406873,0.050203,0,0.403467,11.00532,2.521925,0.137842,8.835674,
21,1.9051,10.1937,12.26415,47.6524,0.396113,0.014437,0,0.406261,11.12441,2.360476,0.114506,8.8989,
21.5,1.923872,10.13438,12.41048,47.85073,0.4311,-0.01827,0,0.397338,11.01624,2.502209,0.105677,8.767971,
22,1.887086,10.34158,12.69195,48.56792,0.42583,0.022426,0,0.387085,10.95327,2.478404,0.13459,8.821574,
22.5,2.026574,10.42351,12.35359,48.62151,0.375472,0.137431,0,0.39823,10.89199,2.416917,0.135236,8.968125,
23,2.038555,10.32533,12.64923,48.46466,0.473366,-0.019001,0,0.402383,11.13274,2.506947,0.140555,8.845236,
23.5,1.879602,10.20404,12.42463,48.83131,0.44424,0.000321,0,0.388768,10.94222,2.50657,0.134329,8.911482,
24,1.971329,10.43258,12.4309,48.57415,0.35515,0.082345,0,0.370551,11.15128,2.399884,0.12519,8.837765,
24.5,1.940766,10.33065,12.3556,48.79078,0.367662,0.00096,0,0.37063,10.99129,2.530824,0.143149,8.743227,
25,1.985487,10.35548,12.47717,48.57086,0.38403,0.016862,0,0.412611,11.12185,2.548291,0.113562,8.784428,
25.5,1.955045,10.33565,12.62228,48.73252,0.453427,-0.031237,0,0.423331,10.97949,2.609137,0.105865,8.817449,
26,1.884581,10.34844,12.65337,48.7221,0.448012,0.001496,0,0.430929,10.99883,2.447299,0.209451,8.922071,
26.5,2.009024,10.3208,12.73947,48.86021,0.398949,0.023064,0,0.40225,10.92194,2.516658,0.173676,8.816245,
27,2.063643,10.41127,12.62879,48.49583,0.368183,0.042101,0,0.359506,11.01527,2.451748,0.156646,8.800808,
27.5,2.006466,10.41515,12.48182,48.54121,0.445743,0.036056,0,0.421495,11.0312,2.622074,0.108855,8.833515,
28,1.976355,10.42906,12.41308,48.53799,0.394016,-0.004525,0,0.351259,11.00874,2.508982,0.168443,8.617522,
28.5,1.982096,10.39346,12.61358,48.41906,0.497176,0.046771,0,0.399734,11.03796,2.566406,0.159197,8.888856,
29,1.969956,10.35583,12.51145,48.1511,0.45314,0.005762,0,0.41472,11.03441,2.535926,0.169143,8.748853,
29.5,2.01936,10.21367,12.21341,47.6971,0.413631,-0.048324,0,0.377457,10.92614,2.501703,0.164415,8.808812,
30,1.991311,10.26787,12.46952,48.34837,0.471726,0.126471,0,0.420704,11.06597,2.434537,0.149368,8.690807,
30.5,1.951009,10.35182,12.42964,47.87727,0.530538,0.052929,0,0.423007,11.09618,2.394321,0.193528,8.72626,
31,2.020066,10.2976,12.52906,48.21194,0.389243,0.035497,0,0.407739,11.08429,2.5078,0.197559,8.839213,
31.5,2.064065,10.28924,12.50065,48.32577,0.479087,-0.027798,0,0.41446,11.01702,2.543713,0.145884,8.732313,
32,2.047938,10.33543,12.44903,48.06541,0.445432,-0.038536,0,0.406266,10.95152,2.570224,0.124958,8.721651,
32.5,1.913902,10.19657,12.42939,48.02207,0.470692,0.004966,0,0.350115,11.0273,2.464537,0.102604,8.777254,
33,1.927653,10.22842,12.2807,47.79271,0.460358,0.058183,0,0.418082,11.06029,2.560953,0.173963,8.630258,
33.5,1.876954,10.18953,12.5235,48.35209,0.463581,-0.042505,0,0.40706,10.92333,2.523226,0.173002,8.777039,
34,1.916576,10.35022,12.40622,48.06451,0.505467,-0.005206,0,0.373841,10.91313,2.482714,0.170117,8.730251,
34.5,1.918366,10.35044,12.393,48.18319,0.462582,-0.022252,0,0.41336,11.17276,2.541623,0.106881,8.748559,
35,1.993223,10.36185,12.53021,48.20492,0.40373,-0.057231,0,0.383989,11.07591,2.496067,0.196351,8.902475,
35.5,1.844789,10.2669,12.41035,48.30447,0.477513,0.022685,0,0.382165,11.06931,2.646016,0.140317,8.728455,
36,1.878151,10.45619,12.38699,48.29899,0.511022,0.100172,0,0.381996,11.06815,2.506574,0.121617,8.968022,
36.5,2.026816,10.24802,12.38378,48.40607,0.493121,0.035724,0,0.411533,11.08541,2.521982,0.177202,8.719955,
37,2.033952,10.26805,12.48613,48.4165,0.417345,0.023181,0,0.394495,11.12423,2.563806,0.162199,8.693196,
37.5,1.933386,10.35555,12.38707,48.33983,0.433402,0.020066,0,0.368077,11.06126,2.509316,0.108168,8.663998,
38,1.892913,10.36119,12.31483,48.39352,0.453653,-0.022328,0,0.39657,11.09452,2.546144,0.121374,8.710196,
38.5,1.847289,10.32501,12.43343,48.2342,0.44365,0.026058,0,0.398373,11.08628,2.458011,0.129362,8.87026,
39,2.036868,10.38017,12.56537,48.12197,0.472141,0.035521,0,0.41481,11.09194,2.674528,0.127628,8.870276,
39.5,1.931141,10.27765,12.41619,47.99771,0.411443,-0.012146,0,0.404257,11.04911,2.574683,0.114685,8.805146,
40,1.930492,10.27679,12.4012,47.95218,0.453941,0.001063,0,0.41648,11.11482,2.491665,0.135026,8.91349,
40.5,1.878484,10.37884,12.2932,48.14336,0.344312,-0.039629,0,0.385994,11.20984,2.549958,0.113789,8.768942,
41,1.923395,10.42748,12.32942,48.43241,0.46767,0.08632,0,0.377666,11.18677,2.576261,0.151492,8.783867,
41.5,1.982474,10.47129,12.32756,48.27329,0.373416,-0.026363,0,0.359121,10.96854,2.626297,0.1535,8.87607,
42,2.048752,10.50139,12.44018,48.12516,0.387231,0.105692,0,0.403146,11.14251,2.478669,0.06772,8.950787,
42.5,1.993679,10.2134,12.28872,48.02293,0.394383,0.019515,0,0.392849,11.00633,2.596779,0.10923,8.809637,
43,1.91265,10.41595,12.49564,48.41229,0.385333,0.079766,0,0.405989,11.10365,2.530804,0.170299,8.872391,
43.5,1.899899,10.43208,12.36357,48.37646,0.383706,-0.036308,0,0.416872,11.17484,2.622436,0.147312,8.928822,
44,1.855635,10.41449,12.48952,48.28105,0.407599,0.018257,0,0.388753,11.35332,2.54322,0.195319,8.829196,
44.5,1.931365,10.3933,12.39463,47.87985,0.345351,0.126442,0,0.396909,11.18432,2.565315,0.124614,8.974398,
45,2.034332,10.40269,12.43406,48.17326,0.455423,0.015302,0,0.390362,11.19541,2.568964,0.12518,8.745434,
45.5,1.973368,10.3927,12.27664,48.13668,0.317345,0.05101,0,0.363754,11.30601,2.532156,0.108381,8.970924,
46,2.085094,10.39135,12.40066,47.98785,0.340472,0.088606,0,0.353243,11.20276,2.547797,0.135051,8.893514,
46.5,1.982125,10.33472,12.3706,48.11395,0.29774,0.014339,0,0.385209,11.20542,2.546112,0.133576,8.952282,
47,1.887524,10.2929,12.53493,47.9351,0.373312,0.090755,0,0.392145,11.22049,2.613872,0.136307,8.978385,
47.5,1.936294,10.15186,12.42747,48.21616,0.374766,0.037175,0,0.361207,11.15192,2.534303,0.178258,8.884728,
48,1.978279,10.15989,12.20048,48.23817,0.368231,0.124643,0,0.411065,11.11712,2.5753,0.15564,8.962678,
48.5,1.830391,10.19152,12.08067,47.92556,0.285766,0.062746,0,0.38022,11.3404,2.503384,0.15228,8.906571,
49,1.81682,9.998188,12.17966,47.95438,0.382142,-0.008863,0,0.383668,11.17321,2.619726,0.142945,8.93086,
49.5,1.903858,9.90123,12.35169,47.778,0.27557,-0.001404,0,0.341914,11.20907,2.530876,0.090792,8.941969,
50,1.897146,9.821216,12.2993,48.12347,0.440104,0.049983,0,0.374025,11.2174,2.479929,0.196389,9.066195,
50.5,1.834715,9.769887,12.21405,47.85516,0.304387,0.088706,0,0.372773,11.27771,2.552843,0.157361,8.978509,
51,1.882767,9.60787,12.19285,47.65777,0.286988,-0.01673,0,0.383628,11.27079,2.549433,0.119756,9.058155,
51.5,1.870323,9.646761,11.99989,47.35691,0.481453,0.04584,0,0.363239,11.25493,2.613119,0.161227,8.968214,
52,1.882634,9.788184,11.8294,47.10082,0.311483,-0.001368,0,0.3539,11.38974,2.723925,0.109071,8.826388,
52.5,1.992175,10.37818,11.56717,46.40551,0.197978,-0.014688,0,0.361234,11.06764,2.636373,0.155965,9.097915,
53,1.881274,11.57956,11.04424,45.56945,0.352706,-0.005887,0,0.321986,10.95929,2.605073,0.120529,8.817258,
53.5,1.791343,17.70975,9.249981,43.28101,0.273236,0.058858,0,0.389298,9.687176,2.382478,0.123176,8.661451,
54,0.829508,31.79079,5.774715,42.87247,0.195179,0.000375,0,0.253648,6.62434,1.692736,0.130836,8.741673,
54.5,0.497927,37.93784,3.50678,41.64592,0.139145,0.010399,0,0.199839,4.550817,0.99369,0.188203,9.040968,
55,0.251879,41.41027,2.277462,40.77774,0.059282,0.005741,0,0.096149,2.980438,0.693405,0.20113,9.582543,
55.5,0.017834,43.78881,1.116743,40.29426,0.060339,-0.044359,0,0.076775,1.817148,0.377779,0.165877,10.18368,
56,0.012827,45.24766,0.660523,39.89061,0.006011,-0.016171,0,0.072798,1.098857,0.165197,0.128163,10.62586,
56.5,-0.061167,45.26275,0.445338,39.74456,0.017979,0.036618,0,-0.016692,0.716204,0.047865,0.230214,10.82496,
57,-0.029552,45.74341,0.444717,39.64903,-0.054636,-0.003065,0,0.005719,0.508681,0.107213,0.263183,11.58941,
57.5,-0.049688,45.80246,0.355378,39.50162,0.015742,0.031596,0,0.034851,0.428953,0.01212,0.186148,11.62656,
58,-0.029569,45.69103,0.29221,39.48129,0.019285,0.023535,0,-0.027667,0.380865,0.011137,0.230592,11.77582,
58.5,-0.088222,45.70409,0.412463,39.47253,-0.057616,0.109386,0,0.009813,0.36866,0.03253,0.169816,11.68472,
59,-0.065144,45.99731,0.345212,39.56131,0.042256,0.016264,0,0.002348,0.408815,-0.002802,0.151431,11.89217,
59.5,-0.060829,45.99728,0.378804,39.86394,0.00377,-0.113908,0,-0.018248,0.408775,0.005438,0.147027,11.62035,
60,-0.017876,46.23225,0.379434,39.76118,0.007908,0.066054,0,0.028442,0.399937,0.007487,0.158951,11.71198,
60.5,-0.091497,46.47671,0.398269,40.08411,0.000592,0.017966,0,0.037835,0.353685,0.045085,0.133696,11.92447,
